ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;19810;CAMPINA GRANDE;NORDESTE;2;PB;16;13;74779;64931;58042;1501;0;0;58042;64931;5388
Governador;19810;CAMPINA GRANDE;NORDESTE;2;PB;17;3;119439;104106;93052;2517;0;0;93052;104106;8537
Governador;19810;CAMPINA GRANDE;NORDESTE;2;PB;72;3;102052;88846;78709;2196;0;0;78709;88846;7941
Governador;19828;RIACHO DE SANTO ANTÔNIO;NORDESTE;2;PB;62;0;2396;2044;1885;42;0;0;1885;2044;117
Governador;19836;CARRAPATEIRA;NORDESTE;2;PB;40;0;2298;1674;1561;16;0;0;1561;1674;97
Governador;19844;APARECIDA;NORDESTE;2;PB;63;0;6847;5775;5281;176;0;0;5281;5775;318
Governador;19852;CATINGUEIRA;NORDESTE;2;PB;32;0;5299;3941;3621;81;0;0;3621;3941;239
Governador;19860;SÃO FRANCISCO;NORDESTE;2;PB;63;0;3991;3453;3255;57;0;0;3255;3453;141
Governador;19879;CATOLÉ DO ROCHA;NORDESTE;2;PB;36;0;21326;17853;16620;347;0;0;16620;17853;886
Governador;19887;VIEIRÓPOLIS;NORDESTE;2;PB;53;0;4977;4021;3682;75;0;0;3682;4021;264
Governador;19895;CONCEIÇÃO;NORDESTE;2;PB;41;0;14443;11438;10537;213;0;0;10537;11438;688
Governador;19909;AREIA DE BARAÚNAS;NORDESTE;2;PB;65;0;2157;1728;1605;32;0;0;1605;1728;91
Governador;19917;CONDADO;NORDESTE;2;PB;51;0;5523;4455;4054;78;0;0;4054;4455;323
Governador;19925;ALGODÃO DE JANDAÍRA;NORDESTE;2;PB;67;1;2980;2423;2233;50;0;0;2233;2423;140
Governador;19933;CONDE;NORDESTE;2;PB;3;0;22609;19153;16937;514;0;0;16937;19153;1702
Governador;19941;BOA VISTA;NORDESTE;2;PB;22;0;5904;5198;4684;130;0;0;4684;5198;384
Governador;19950;CONGO;NORDESTE;2;PB;43;0;5081;4321;3871;124;0;0;3871;4321;326
Governador;19968;MARCAÇÃO;NORDESTE;2;PB;55;1;6948;5849;5342;134;0;0;5342;5849;373
Governador;19976;COREMAS;NORDESTE;2;PB;52;0;12119;9440;8767;168;0;0;8767;9440;505
Governador;19984;MATURÉIA;NORDESTE;2;PB;30;0;5501;4334;3897;144;0;0;3897;4334;293
Governador;19992;CRUZ DO ESPÍRITO SANTO;NORDESTE;2;PB;3;1;15898;13614;12068;462;0;0;12068;13614;1084
Governador;20001;SANTA CECÍLIA;NORDESTE;2;PB;18;0;6642;5895;5514;116;0;0;5514;5895;265
Governador;20010;CUBATI;NORDESTE;2;PB;23;3;6483;5372;4867;132;0;0;4867;5372;373
